Country,Year,Meningitis_encephalitis,Respiratory_infections,Sepsis,Pertussis,Malaria,Measles,HIV_Aids,Diarrhoeal_diseases,Asphyxia_trauma
Angola,Year 2013,5461,26392,7199,897,19405,627,1778,22465,14245
Angola,Year 2012,5747,26910,7149,893,19692,1278,1769,23655,14150
Angola,Year 2000,9282,25989,4172,931,21138,1103,1179,27209,9800
Angola,Year 2001,9452,26463,4784,918,21232,3889,1276,27064,9715
Angola,Year 2011,6107,27282,7044,911,21331,573,1704,24567,13909
Angola,Year 2002,9628,27141,5269,931,21793,5054,1373,26969,10068
Angola,Year 2006,10465,30754,6064,1047,22022,602,1590,27001,12620
Angola,Year 2003,9840,28190,5219,964,22530,1786,1466,27015,11186
Angola,Year 2005,10242,29865,5742,1014,23066,297,1601,26962,12292
Angola,Year 2004,9987,28764,5685,976,23161,24,1545,26830,11386
Angola,Year 2007,6681,27597,6914,943,23597,333,1594,28242,12913
Angola,Year 2010,5899,26780,7363,906,23827,338,1629,25156,13731
Angola,Year 2008,6658,27658,7095,935,24441,328,1605,27199,13333
Angola,Year 2009,6851,27898,7453,973,24858,976,1610,25887,13953
Congo,Year 2013,9101,49598,16965,3102,47519,15453,4487,33730,32994
Congo,Year 2012,9464,50424,16477,3049,48443,15191,4411,35679,32653
Congo,Year 2011,9517,50487,15822,2990,50175,31815,4673,37069,33651
Congo,Year 2010,10559,51027,17331,3123,51128,5082,4837,37904,31325
Congo,Year 2009,10101,50916,18086,2936,52037,5166,4985,40063,32521
Congo,Year 2008,14461,54789,16769,2996,55752,5957,5154,38179,31857
Congo,Year 2007,14036,52394,16399,2923,65794,11342,5310,37671,31236
Congo,Year 2000,14917,49542,10926,2951,69177,39600,5135,45561,26571
Congo,Year 2006,14259,52196,15473,3007,69414,17086,5518,38939,31130
Congo,Year 2005,14634,52396,15521,3005,71000,39181,5597,40592,30835
Congo,Year 2001,15393,51350,10258,3052,71367,38386,5305,46001,27774
Congo,Year 2004,15031,52626,15097,3009,72224,54739,5601,42374,30474
Congo,Year 2002,15578,52583,12961,3066,72603,51468,5454,45553,29659
Congo,Year 2003,15416,52777,14298,3091,72874,35548,5551,44223,29881
Zambia,Year 2013,1082,7550,3230,659,8328,564,3044,4563,6251
Zambia,Year 2012,1110,7537,3131,632,8334,736,2921,4729,6037
Zambia,Year 2011,1086,7223,3124,597,9155,1740,4776,4773,5855
Zambia,Year 2010,1179,7590,3177,569,7969,2223,6335,5317,5771
Zambia,Year 2009,1170,7760,3061,529,7349,146,6844,5850,5646
Zambia,Year 2008,1237,7684,2966,530,8024,73,7940,5929,5484
Zambia,Year 2007,1315,7666,2908,534,8616,248,8911,6059,5360
Zambia,Year 2006,1339,7644,2926,522,9472,224,9808,6301,5335
Zambia,Year 2005,1358,7593,2968,510,11000,102,10381,6516,5375
Zambia,Year 2004,1398,7619,3019,496,12630,6,10928,6833,5414
Zambia,Year 2003,2381,8996,3089,488,12574,716,11099,7096,5505
Zambia,Year 2002,2610,9476,3159,478,13239,2911,11104,7852,5609
Zambia,Year 2001,2811,9853,3170,466,13914,2129,11056,8541,5759
Zambia,Year 2000,2923,9952,3042,455,14402,3616,10944,9000,5739
Namibia,Year 2013,42,428,208,69,1,114,197,217,351
Namibia,Year 2012,45,443,204,69,1,68,196,230,353
Namibia,Year 2011,49,461,200,69,5,83,284,249,351
Namibia,Year 2010,52,472,201,67,3,106,442,268,357
Namibia,Year 2009,81,538,199,66,7,149,608,260,362
Namibia,Year 2008,85,544,203,65,16,40,769,275,363
Namibia,Year 2007,89,549,209,65,23,39,918,290,359
Namibia,Year 2006,88,531,207,62,124,35,1082,291,373
Namibia,Year 2005,94,544,212,64,111,27,1324,315,370
Namibia,Year 2004,92,519,213,61,219,17,1508,311,376
Namibia,Year 2003,100,559,214,67,112,68,1494,347,388
Namibia,Year 2002,101,568,214,66,123,79,1431,359,415
Namibia,Year 2001,96,550,216,63,222,19,1334,350,448
Namibia,Year 2000,99,569,215,65,145,24,1206,373,435
Botswana,Year 2013,24,282,181,8,1,36,124,139,296
Botswana,Year 2012,26,297,185,9,1,25,126,152,304
Botswana,Year 2011,27,306,195,10,1,28,209,163,321
Botswana,Year 2010,48,361,199,10,5,42,242,159,326
Botswana,Year 2009,50,366,204,10,6,29,340,168,334
Botswana,Year 2008,52,366,197,8,5,16,418,176,328
