ISO,Country,Time Period,Total
AGO,Angola,2011,26
BEN,Benin,2014,19.1
BFA,Burkina Faso,2014,30.3
BDI,Burundi,2012,28.3
CAF,Central African Republic,2010,16.8
TCD,Chad,2010,9
COM,Comoros,2012,28
COG,Congo,2011-2012,28.8
CIV,C™te d'Ivoire,2011-2012,11
COD,Democratic Republic of the Congo,2013-2014,18.6
GNQ,Equatorial Guinea,2011,45.9
ETH,Ethiopia,2011,19.8
GMB,Gambia,2010,18.3
GHA,Ghana,2014,34.3
GIN,Guinea,2012,8.5
GNB,Guinea-Bissau,2014,23.3
GUY,Guyana,2014,12
HTI,Haiti,2012,12.2
KEN,Kenya,2014,34.9
LAO,Lao People's Democratic Republic,2011-2012,9.1
LBR,Liberia,2013,41.9
MDG,Madagascar,2013,13.4
MWI,Malawi,2013-2014,41.5
MLI,Mali,2010,6.1
MRT,Mauritania,2011,5.1
MOZ,Mozambique,2011,29.8
NAM,Namibia,2013,21.8
NER,Niger,2012,13.6
NGA,Nigeria,2013,11.1
RWA,Rwanda,2013,30.4
SEN,Senegal,2010-2011,9.7
SLE,Sierra Leone,2013,39.6
SSD,South Sudan,2013,27.6
SDN,Sudan,2010,57.4
SUR,Suriname,2010,14.9
SWZ,Swaziland,2010,13.6
TGO,Togo,2013-2014,23.8
UGA,Uganda,2011,25.9
TZA,United Republic of Tanzania,2011-2012,24.9
VNM,Viet Nam,2010-2011,10.7
ZMB,Zambia,2013-2014,48.6
ZWE,Zimbabwe,2014,14.1
