Code,ISO3,LongName,IncomeGroup,Region,ShortName
AFG,AFG,Islamic State of Afghanistan,Low income,South Asia,Afghanistan
ALB,ALB,Republic of Albania,Upper middle income,Europe & Central Asia,Albania
DZA,DZA,People's Democratic Republic of Algeria,Upper middle income,Middle East & North Africa,Algeria
ASM,ASM,American Samoa,Upper middle income,East Asia & Pacific,American Samoa
ADO,AND,Principality of Andorra,High income: nonOECD,Europe & Central Asia,Andorra
AGO,AGO,People's Republic of Angola,Upper middle income,Sub-Saharan Africa,Angola
ATG,ATG,Antigua and Barbuda,High income: nonOECD,Latin America & Caribbean,Antigua and Barbuda
ARG,ARG,Argentine Republic,High income: nonOECD,Latin America & Caribbean,Argentina
ARM,ARM,Republic of Armenia,Lower middle income,Europe & Central Asia,Armenia
ABW,ABW,Aruba,High income: nonOECD,Latin America & Caribbean,Aruba
AUS,AUS,Commonwealth of Australia,High income: OECD,East Asia & Pacific,Australia
AUT,AUT,Republic of Austria,High income: OECD,Europe & Central Asia,Austria
AZE,AZE,Republic of Azerbaijan,Upper middle income,Europe & Central Asia,Azerbaijan
BHS,BHS,Commonwealth of The Bahamas,High income: nonOECD,Latin America & Caribbean,The Bahamas
BHR,BHR,Kingdom of Bahrain,High income: nonOECD,Middle East & North Africa,Bahrain
BGD,BGD,People's Republic of Bangladesh,Lower middle income,South Asia,Bangladesh
BRB,BRB,Barbados,High income: nonOECD,Latin America & Caribbean,Barbados
BLR,BLR,Republic of Belarus,Upper middle income,Europe & Central Asia,Belarus
BEL,BEL,Kingdom of Belgium,High income: OECD,Europe & Central Asia,Belgium
BLZ,BLZ,Belize,Upper middle income,Latin America & Caribbean,Belize
BEN,BEN,Republic of Benin,Low income,Sub-Saharan Africa,Benin
BMU,BMU,The Bermudas,High income: nonOECD,North America,Bermuda
BTN,BTN,Kingdom of Bhutan,Lower middle income,South Asia,Bhutan
BOL,BOL,Plurinational State of Bolivia,Lower middle income,Latin America & Caribbean,Bolivia
BIH,BIH,Bosnia and Herzegovina,Upper middle income,Europe & Central Asia,Bosnia and Herzegovina
BWA,BWA,Republic of Botswana,Upper middle income,Sub-Saharan Africa,Botswana
BRA,BRA,Federative Republic of Brazil,Upper middle income,Latin America & Caribbean,Brazil
BRN,BRN,Brunei Darussalam,High income: nonOECD,East Asia & Pacific,Brunei
BGR,BGR,Republic of Bulgaria,Upper middle income,Europe & Central Asia,Bulgaria
BFA,BFA,Burkina Faso,Low income,Sub-Saharan Africa,Burkina Faso
BDI,BDI,Republic of Burundi,Low income,Sub-Saharan Africa,Burundi
CPV,CPV,Republic of Cabo Verde,Lower middle income,Sub-Saharan Africa,Cabo Verde
KHM,KHM,Kingdom of Cambodia,Low income,East Asia & Pacific,Cambodia
CMR,CMR,Republic of Cameroon,Lower middle income,Sub-Saharan Africa,Cameroon
