Country,Meningitis_encephalitis,Respiratory_infections,Sepsis,Pertussis,Malaria,Measles,HIV_Aids,Diarrhoeal_diseases,Asphyxia_trauma
Angola,5461,26392,7199,897,19405,627,1778,22465,14245
Congo,9101,49598,16965,3102,47519,15453,4487,33730,32994
Zambia,1082,7550,3230,659,8328,564,3044,4563,6251
Namibia,42,428,208,69,1,114,197,217,351
Botswana,24,282,181,8,1,36,124,139,296
Mozambique,1673,11669,5632,1061,14685,0,5468,7000,9272
Tanzania,1376,14263,7448,1911,9272,259,5526,7087,12984
Kenya,2348,18576,6843,1619,4637,238,4656,10515,14726
Gabon,37,354,213,58,540,14,64,183,355
Cameroon,2067,12718,4212,843,9261,218,2142,8497,8361
C.A.R.,755,3175,911,197,5459,0,664,2002,2360
Uganda,2075,15454,6403,1735,12935,550,7382,8383,10680
Nigeria,24987,120199,41218,9539,166102,4625,24647,76938,84188
Malawi,640,5465,2632,601,5927,314,5056,3003,4320
Ethiopia,4516,34565,15241,3762,5748,4541,4588,18534,29664
Rwanda,375,3850,1597,417,949,131,329,2028,2873
Burundi,862,6483,2474,420,1790,210,462,4094,4173
