Country,1950,1951,1952,1953,1954,1955, 1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Afghanistan,,,,,,,,,,,,356.5,350.6,345.0,339.7,334.1,328.7,323.3,318.1,313.0,307.8,302.1,296.4,290.8,284.9,279.4,273.6,267.8,261.6,255.5,249.1,242.7,236.2,229.7,222.9,216.0,209.2,202.1,195.0,187.8,181.0,174.2,167.8,162.0,156.8,152.3,148.6,145.5,142.6,139.9,137.0,133.8,130.3,126.8,123.2,119.6,116.3,113.2,110.4,107.6,105.0,102.3,99.5,96.7,93.9,91.1
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.1,84.7,78.6,73.0,67.8,62.8,58.3,54.3,50.7,47.6,44.9,42.5,40.6,38.8,37.3,36.0,34.6,33.2,31.8,30.3,28.9,27.5,26.2,24.9,23.6,22.5,21.5,20.5,19.5,18.7,17.9,17.3,16.6,16.0,15.5,14.9,14.4,14.0
Algeria,,,,,251.0,249.9,249.0,248.0,247.5,246.7,246.3,246.1,246.2,246.8,247.4,248.2,248.7,248.4,247.4,245.3,241.7,236.5,230.0,222.5,214.2,205.0,195.2,184.9,173.8,161.8,148.1,132.5,115.8,99.2,83.8,71.2,61.9,55.4,51.2,48.5,46.8,45.7,44.9,44.1,43.3,42.5,41.8,41.1,40.6,40.2,39.7,38.9,37.8,36.5,35.1,33.6,32.1,30.7,29.4,28.3,27.3,26.6,26.1,25.8,25.6,25.5
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.5,7.9,7.4,6.9,6.4,6.0,5.7,5.3,5.0,4.8,4.6,4.4,4.2,4.1,4.0,3.9,3.7,3.6,3.5,3.4,3.3,3.2,3.1,3.0,2.9,2.8
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234.1,232.8,231.5,230.2,229.1,228.3,227.5,226.9,226.5,226.2,226.0,225.9,226.0,225.8,225.5,224.8,224.0,222.6,220.8,218.9,216.7,214.1,211.7,209.2,206.7,203.9,200.5,196.4,192.0,187.3,182.5,177.3,172.2,167.1,162.2,156.9
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.5,24.2,23.1,21.9,20.8,19.7,18.8,17.9,17.0,16.2,15.5,14.8,14.1,13.5,12.9,12.4,11.8,11.3,10.9,10.4,9.9,9.5,9.1,8.7,8.4,8.1
Argentina,,,,,,,,,,,,,,,,,,,,73.2,72.4,71.5,70.4,68.8,66.6,63.8,60.2,55.9,51.4,47.0,43.1,40.0,37.6,35.8,34.4,33.1,31.9,30.8,29.7,28.6,27.6,26.6,25.7,24.8,24.1,23.4,22.7,22.0,21.4,20.8,20.2,19.7,19.2,18.6,17.9,17.1,16.4,15.8,15.4,15.0,14.6,14.2,13.8,13.3,12.9,12.5
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,88.1,84.6,81.2,78.0,74.9,72.0,69.2,66.6,64.0,61.5,59.1,56.7,81.7,52.1,49.8,47.5,45.2,42.9,40.8,38.7,36.8,35.0,33.3,31.7,30.1,28.7,27.3,25.9,24.6,23.4,22.2,21.1,20.0,19.0,18.0,17.2,16.3,15.5,14.7,14.1
Australia,31.6,31.0,30.3,29.5,28.7,28.0,27.3,26.6,26.0,25.4,24.9,24.3,23.7,23.2,22.7,22.4,22.1,22.0,21.9,21.7,21.4,20.9,20.2,19.3,18.4,17.3,16.2,15.3,14.4,13.6,13.0,12.6,12.2,11.9,11.6,11.3,11.0,10.6,10.2,9.7,9.2,8.6,8.1,7.7,7.3,7.0,6.8,6.6,6.5,6.4,6.2,6.1,6.0,6.0,5.9,5.7,5.6,5.4,5.2,5.0,4.8,4.5,4.3,4.1,3.9,3.8
Austria,,,,,55.0,53.4,51.7,49.9,47.8,45.4,42.8,40.3,37.9,35.9,34.2,32.8,31.5,30.5,29.8,29.4,29.1,28.7,28.0,26.8,25.1,23.1,21.1,19.4,18.1,17.1,16.3,15.5,14.7,14.0,13.3,12.6,11.9,11.1,10.5,10.0,9.5,9.0,8.5,8.0,7.4,6.8,6.4,6.1,5.8,5.6,5.5,5.4,5.3,5.2,5.0,4.9,4.8,4.7,4.6,4.5,4.4,4.2,4.0,3.9,3.7,3.5
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.2,105.7,103.3,101.1,99.0,97.2,95.8,94.9,94.7,95.0,95.4,95.7,95.5,94.3,92.1,88.6,84.2,79.3,74.0,68.8,63.8,59.3,55.2,51.7,48.6,45.8,43.3,41.0,39.0,37.3,35.7,34.2,32.9,31.7
Bahamas,,,,,,,,,,,,,,,,,,,29.4,30.0,30.6,31.2,31.7,32.1,32.2,32.2,31.9,31.5,31.0,30.5,29.9,29.4,28.9,28.6,28.2,27.9,27.3,26.5,25.6,24.6,23.5,22.5,21.6,20.6,19.6,18.7,17.8,17.0,16.4,15.9,15.7,15.5,15.5,15.4,15.4,15.3,15.1,14.8,14.5,14.2,13.9,13.5,13.2,12.8,12.4,12.1
Bahrain,,,,,,,281.4,258.6,237.8,218.3,200.0,183.1,167.2,152.6,138.9,126.3,114.7,104.0,94.1,85.0,76.8,69.3,62.7,56.9,51.8,47.4,43.6,40.2,37.2,34.6,32.3,30.3,28.6,27.2,25.9,24.9,24.2,23.6,23.3,23.2,23.0,22.7,22.0,21.0,19.6,18.1,16.6,15.2,14.1,13.2,12.6,12.1,11.8,11.5,11.2,10.9,10.5,10.0,9.4,8.8,8.3,7.8,7.3,6.9,6.5,6.2
Bangladesh,,,,322.9,313.1,304.1,295.4,287.1,279.1,271.5,264.3,257.5,251.3,245.6,240.4,236.0,232.3,229.4,227.1,225.4,224.1,223.0,222.0,220.7,219.1,217.1,214.5,211.2,207.4,203.3,198.9,194.2,189.4,184.4,179.1,173.5,167.7,161.8,155.8,149.7,143.7,137.7,131.7,125.8,119.9,114.2,108.6,103.2,97.9,92.8,88.0,83.5,79.0,74.8,70.7,66.8,63.0,59.4,55.9,52.6,49.6,46.7,44.0,41.6,39.5,37.6
Barbados,,,,,168.8,145.5,126.4,111.2,99.5,90.6,83.6,78.0,73.2,68.7,64.7,61.3,58.2,55.5,53.0,50.5,48.1,45.8,43.4,41.1,38.9,36.7,34.6,32.6,30.6,28.9,27.2,25.8,24.6,23.6,22.8,22.0,21.2,20.4,19.5,18.7,17.9,17.2,16.6,16.1,15.7,15.5,15.4,15.5,15.7,16.0,16.3,16.6,16.8,16.8,16.7,16.5,16.2,15.8,15.4,15.1,14.7,14.4,14.1,13.7,13.3,13.0
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.3,22.3,21.3,20.6,19.9,19.4,18.7,18.1,17.5,17.0,16.6,16.6,16.8,17.1,17.5,17.9,18.0,17.8,17.0,15.8,14.3,13.0,11.9,10.9,10.2,9.4,8.7,7.9,7.2,6.6,6.1,5.6,5.3,5.0,4.7,4.6
Belgium,,,,51.2,48.3,45.5,42.7,40.1,37.7,35.6,33.9,32.4,31.1,30.0,28.9,27.9,27.0,26.2,25.5,24.8,23.9,23.0,21.9,20.8,19.6,18.6,17.6,16.7,15.9,15.2,14.5,13.9,13.3,12.7,12.2,11.8,11.4,11.0,10.7,10.3,10.0,9.6,9.2,8.7,8.2,7.6,7.1,6.7,6.3,6.0,5.8,5.6,5.4,5.2,5.1,5.0,4.9,4.8,4.7,4.6,4.5,4.4,4.3,4.3,4.2,4.1
Belize,,,,,,,,,,,,,,,,,,109.9,105.5,101.3,97.3,93.5,89.7,86.3,83.0,79.9,77.0,74.2,71.4,68.9,66.4,63.9,61.4,58.9,56.2,53.5,50.6,47.7,44.9,42.2,39.6,37.2,35.0,33.1,31.5,30.1,28.8,27.8,26.7,25.8,25.0,24.2,23.5,22.8,22.2,21.7,21.2,20.6,20.1,19.5,19.0,18.5,18.0,17.5,17.0,16.5
Benin,348.2,345.1,342.1,339.0,335.9,332.7,329.5,326.2,322.5,318.4,314.0,309.2,303.9,298.2,292.5,286.9,281.4,276.9,272.8,269.0,265.5,261.8,257.8,253.4,248.3,242.7,237.0,231.3,226.1,221.5,217.4,213.7,210.2,206.8,203.3,199.7,196.1,192.2,188.1,183.9,179.5,175.0,170.4,166.2,162.4,159.1,156.2,153.6,150.9,147.9,144.7,141.1,137.1,133.1,129.2,125.5,122.1,119.0,116.3,113.9,111.6,109.3,107.0,104.8,102.1,99.5
Bhutan,,,,,,,,,,,,,,,,,,,,278.6,271.5,264.2,256.7,249.5,242.4,235.5,228.4,221.3,214.1,206.9,199.8,193.0,185.9,178.9,172.1,165.2,158.8,152.2,145.9,139.8,133.7,127.8,122.0,116.4,110.8,105.3,99.8,94.5,89.4,84.4,79.6,75.0,70.6,66.4,62.3,58.5,54.8,51.3,48.1,45.1,42.3,39.9,37.8,36.0,34.4,32.9
Bolivia (Plurinational State of),,,,,,,,,,,287.1,281.4,276.1,270.8,265.4,260.1,254.5,248.8,243.0,237.1,231.3,225.3,219.1,212.8,206.4,200.1,193.9,187.9,182.1,176.6,171.6,166.8,162.3,157.8,153.2,148.5,143.8,138.9,134.0,129.2,124.4,119.7,115.2,110.7,106.2,101.8,97.5,93.1,88.7,84.4,80.2,76.2,72.2,68.5,64.8,61.4,58.1,54.9,52.0,49.3,47.0,44.9,43.1,41.3,39.8,38.4
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.4,27.0,24.9,23.0,21.2,19.7,18.3,17.0,18.4,18.4,15.6,15.2,12.5,11.6,10.7,9.9,9.2,8.6,8.3,8.2,8.2,8.3,8.3,8.3,8.1,7.8,7.4,6.9,6.5,6.1,5.7,5.4
Botswana,,,,,207.2,200.1,193.4,187.2,181.3,175.3,169.6,164.1,158.9,153.7,148.8,144.0,139.5,134.9,130.3,125.7,121.0,116.2,111.2,106.2,101.2,96.1,91.1,86.2,81.6,77.1,72.9,69.1,65.6,62.3,59.5,57.1,55.1,53.7,53.0,53.1,54.2,56.4,59.1,62.4,66.1,69.9,73.5,76.5,79.0,82.0,82.9,81.6,79.8,78.1,75.8,69.0,63.4,62.6,61.7,57.3,53.5,51.8,49.5,46.6,44.8,43.6
Brazil,,,,,,197.8,192.5,187.3,182.2,176.9,171.9,167.2,162.7,158.4,154.5,150.7,147.2,143.9,140.5,137.0,133.5,129.8,126.1,122.5,118.9,115.3,111.7,107.9,104.0,99.7,95.3,90.8,86.5,82.4,78.6,75.1,71.9,68.8,66.0,63.4,60.8,58.2,55.4,52.5,49.4,46.3,43.2,40.2,37.2,34.5,32.0,29.6,27.4,25.4,23.6,21.9,20.4,19.2,18.1,17.2,16.6,16.2,16.0,16.0,16.2,16.4
Brunei Darussalam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.8,16.1,15.4,14.7,14.1,13.5,13.0,12.6,12.2,11.9,11.6,11.2,10.9,10.6,10.3,10.0,9.7,9.6,9.4,9.3,9.2,9.1,9.1,9.0,9.0,9.0,9.0,9.1,9.3,9.5,9.7,9.9,10.1,10.2
