region,year,total_improved
Sub-Saharan Africa,1990,48
Sub-Saharan Africa,2015,68
Northern Africa,1990,87
Northern Africa,2015,93
Eastern Asia,1990,68
Eastern Asia,2015,96
Eastern Asia without China,1990,96
Eastern Asia without China,2015,98
Southern Asia,1990,73
Southern Asia,2015,93
Southern Asia without India,1990,79
Southern Asia without India,2015,89
South Eastern Asia,1990,72
South Eastern Asia,2015,90
Western Asia,1990,85
Western Asia,2015,95
Oceania,1990,50
Oceania,2015,56
Latin American and the Caribbean,1990,85
Latin American and the Caribbean,2015,95
Caucasus and Central Asia,1990,87
Caucasus and Central Asia,2015,89
Developed regions,1990,98
Developed regions,2015,99
Developing regions,1990,70
Developing regions,2015,89
Least Developed Countries,1990,51
Least Developed Countries,2015,69
World,1990,76
World,2015,91
