Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sept,Oct,Nov,Dec
1688,,,,,,75,47,9,43,46,44,49
1689,36,22,22,37,18,20,116,41,45,50,66,18
1690,70,32,43,24,68,63,73,79,21,64,23,9
1691,,,,,,,,,,,,
1692,,,,,,,,,,,,
1693,25,20,71,52,77,58,54,63,86,40,46,22
1694,5,14,10,7,24,36,90,34,28,13,50,11
1695,88,54,51,34,41,12,76,67,51,32,12,14
1696,10,15,52,12,85,113,19,39,29,76,30,47
1697,,,,,,,,,,,,
1698,,,,,,,,,,,,
1699,26,26,25,82,50,67,25,42,79,28,22,34
1700,27,30,30,63,39,100,81,20,3,54,58,38
1701,39,45,50,2,46,87,61,102,23,56,43,24
1702,42,41,21,39,13,20,43,81,25,35,41,41
1703,21,33,9,37,77,52,64,53,47,38,29,8
1704,34,35,43,36,61,55,21,61,77,19,45,52
1705,12,18,16,53,10,35,6,43,37,63,30,53
1706,19,36,8,17,53,49,29,12,41,43,0,68
1707,11,23,25,9,26,38,86,78,21,92,14,63
1708,63,34,36,39,68,52,72,34,27,34,15,21
1709,51,31,46,85,72,103,41,25,66,40,4,27
1710,28,8,32,40,27,20,39,84,36,26,48,38
1711,19,115,41,46,73,19,115,45,55,71,47,36
1712,45,19,14,115,28,52,82,14,89,58,37,19
1713,43,28,20,65,57,51,137,56,38,40,19,5
1714,10,20,25,13,37,68,63,22,50,38,0,45
1715,15,15,33,43,28,69,49,87,19,26,55,34
1716,66,22,23,14,23,10,55,9,62,61,24,19
1717,17,22,16,40,47,41,56,32,60,23,35,89
1718,29,19,30,50,16,56,28,44,21,38,10,15
1719,31,27,7,11,9,45,48,5,14,32,33,16
1720,23,19,21,36,77,70,34,81,22,23,18,40
1721,8,21,14,36,20,38,14,38,30,32,46,45
1722,11,37,36,9,72,43,26,59,52,0,24,27
1723,17,19,10,2,16,36,49,17,19,9,14,21
1724,19,46,35,27,10,67,11,10,5,35,18,52
1725,31,0,15,19,78,103,34,70,25,29,7,63
1726,39,24,18,16,5,55,36,6,41,24,29,14
1727,28,14,11,21,38,61,29,6,41,38,39,45
1728,80,1,44,47,50,27,22,29,15,34,37,50
1729,31,13,18,45,99,20,50,64,45,30,19,27
1730,2,36,39,41,35,69,58,18,34,48,30,25
1731,31,12,0,6,23,20,19,42,55,5,35,31
1732,14,15,21,35,75,65,24,19,69,69,19,16
1733,25,21,44,11,61,41,14,20,7,5,11,7
1734,33,20,40,30,53,32,85,23,5,54,18,76
1735,50,5,23,33,64,50,50,24,34,12,6,24
1736,25,23,25,21,38,82,26,37,25,34,15,57
1737,14,15,23,8,31,83,65,65,53,36,29,9
1738,31,14,49,30,99,41,18,40,29,31,14,5
1739,44,29,33,46,48,42,46,56,53,75,24,20
1740,13,10,20,32,62,16,91,68,28,50,58,137
1741,30,19,9,5,34,36,74,21,67,16,19,18
1742,44,15,10,26,10,32,59,20,34,31,60,5
1743,12,30,36,48,31,27,43,39,2,39,31,18
1744,12,5,29,39,65,9,33,35,60,100,46,4
1745,8,17,13,11,34,42,42,60,25,13,33,41
1746,34,11,32,12,24,53,60,59,29,12,24,32
1747,12,15,26,48,39,27,44,57,11,40,74,62
1748,14,8,33,36,29,44,36,74,51,49,47,78
1749,46,48,33,55,41,46,42,50,21,38,64,32
1750,18,12,14,65,71,74,53,93,20,17,82,44
1751,49,30,85,104,71,11,37,63,51,66,24,35
1752,42,52,37,16,35,60,123,48,14,0,29,70
1753,20,48,17,61,41,22,26,33,11,64,103,36
1754,41,25,12,61,41,21,33,15,1,44,39,41
1755,,,,,,,,,,,,
1756,,,,,,,,,,,,
1757,,,,,,,,,,,,
1758,,,,,,,,,,,,
1759,,,,,,,,,,,,
1760,,,,,,,,,,,,
1761,,,,,,,,,,,,
1762,,,,,,,,,,,,
1763,,,,,,,,,,,,
1764,,,,,,,,,,,,
1765,,,,,,,,,,,,
1766,,,,,,,,,,,,
1767,,,,,,,,,,,,
1768,,,,,,,,,,,,
1769,,,,,,,,21,38,13,42,31
1770,49,25,12,60,58,102,56,34,58,96,85,62
1771,37,25,61,12,58,80,23,115,29,30,24,50
1772,62,61,37,60,47,68,23,23,92,48,24,31
1773,79,39,7,28,48,146,88,63,32,72,43,95
1774,89,53,32,90,118,48,12,106,105,12,34,15
1775,28,70,49,7,36,107,62,26,55,71,79,41
1776,43,135,28,19,89,85,76,135,48,0,43,42
1777,54,38,36,43,87,35,105,6,21,20,28,52
1778,66,27,40,78,70,17,107,9,43,74,73,30
1779,0,22,12,81,47,74,113,65,42,42,83,80
1780,42,21,40,47,28,49,56,84,61,37,65,0
1781,28,60,0,19,27,72,42,30,35,7,82,27
1782,88,11,108,63,107,17,52,107,60,31,49,24
1783,85,47,74,22,72,98,49,86,59,42,40,34
1784,12,25,61,17,58,34,56,201,31,31,37,55
1785,26,38,0,17,8,58,72,63,58,60,69,52
1786,54,20,94,41,40,142,47,85,74,55,44,46
1787,22,25,42,81,115,49,34,14,43,133,83,72
1788,47,76,47,14,84,90,42,64,69,1,7,4
1789,45,47,44,64,27,73,49,28,50,87,56,26
1790,32,5,10,46,40,6,97,6,16,48,49,66
1791,82,38,32,78,48,9,34,36,4,29,22,74
1792,54,37,42,72,45,52,108,48,55,123,11,75
1793,68,45,29,19,19,24,36,2,33,23,77,20
1794,37,21,37,67,50,19,50,29,100,29,30,24
1795,25,45,47,24,33,79,70,21,14,97,73,47
1796,28,71,12,5,58,63,63,30,20,89,9,75
1797,54,4,33,60,58,59,95,34,61,42,101,67
1798,46,21,16,37,36,23,23,34,69,48,61,25
1799,37,49,25,72,47,34,68,46,69,120,49,25
1800,37,6,25,72,47,57,2,115,92,36,122,75
1801,49,49,61,24,70,57,169,34,69,120,122,75
1802,25,61,37,36,12,68,34,12,35,60,61,50
1803,36,48,24,47,45,55,11,11,22,46,82,76
1804,71,42,24,57,58,34,113,130,71,77,71,61
1805,49,43,37,30,58,35,34,87,84,60,45,65
1806,88,88,94,18,14,12,31,61,44,36,24,40
1807,39,46,11,32,81,19,12,61,58,35,128,15
1808,27,14,13,13,18,46,68,79,61,74,48,24
1809,59,34,18,23,50,33,64,58,48,2,45,122
1810,0,32,44,24,70,3,101,27,6,60,63,65
1811,68,78,10,70,52,100,65,61,50,50,63,43
1812,39,69,55,72,46,50,17,49,16,98,38,16
1813,31,21,13,42,56,91,101,15,42,65,47,39
1814,38,17,14,53,38,50,10,39,16,42,52,67
1815,21,37,49,36,33,86,34,16,35,68,43,54
1816,59,7,52,15,44,59,104,54,69,23,48,97
1817,45,25,52,2,69,104,63,59,68,62,21,66
1818,52,54,82,71,49,24,18,29,59,16,40,15
1819,38,61,25,27,84,52,92,69,28,63,78,73
1820,42,30,20,23,91,32,16,50,38,60,9,18
1821,61,5,79,77,50,46,56,47,84,38,39,65
1822,20,20,20,9,42,92,45,23,61,31,49,29
1823,37,65,39,37,54,53,44,26,31,49,19,65
1824,34,41,61,37,76,47,40,58,71,110,44,33
1825,26,31,23,58,64,21,2,37,55,50,115,38
1826,37,46,13,35,45,23,31,48,34,48,60,54
1827,16,23,77,46,116,18,38,32,44,69,27,71
1828,63,43,68,64,65,58,98,63,27,8,38,26
1829,39,30,26,74,20,53,128,46,109,37,25,3
1830,17,2,17,70,123,78,64,74,76,9,60,54
1831,25,47,46,47,64,43,46,53,48,58,89,47
1832,40,11,40,31,54,89,2,43,24,53,86,54
1833,21,97,26,71,24,48,39,43,58,24,44,99
