year,emissions
1961,552066.85
1962,440359.029
1963,436695.696
1964,436923.05
1965,475972.933
1966,522789.522
1967,433234.048
1968,468928.626
1969,577237.138
1970,771617.474
1971,876633.02
1972,931575.681
1973,968542.708
1974,988014.478
1975,1145607.47
1976,1196193.735
1977,1310310.775
1978,1462168.579
1979,1494859.884
1980,1467192.369
1981,1451501.276
1982,1580260.647
1983,1667029.201
1984,1814908.31
1985,1966553.428
1986,2068969.071
1987,2209708.531
1988,2369501.723
1989,2408540.605
1990,2460744.017
1991,2584538.27
1992,2695982.067
1993,2878694.009
1994,3058241.33
1995,3320285.15
1996,3463089.131
1997,3469510.048
1998,3324344.519
1999,3318055.614
2000,3405179.867
2001,3487566.356
2002,3694242.143
2003,4525177.009
2004,5288166.032
2005,5790016.984
2006,6414463.08
2007,6791804.714
2008,7035443.861
2009,7692210.895
2010,8286891.952
