Code,LongName,IncomeGroup,Region,ShortName
AFG,Islamic State of Afghanistan,Low income,South Asia,Afghanistan
ALB,Republic of Albania,Upper middle income,Europe & Central Asia,Albania
DZA,People's Democratic Republic of Algeria,Upper middle income,Middle East & North Africa,Algeria
ASM,American Samoa,Upper middle income,East Asia & Pacific,American Samoa
ADO,Principality of Andorra,High income: nonOECD,Europe & Central Asia,Andorra
AGO,People's Republic of Angola,Upper middle income,Sub-Saharan Africa,Angola
ATG,Antigua and Barbuda,High income: nonOECD,Latin America & Caribbean,Antigua and Barbuda
ARG,Argentine Republic,High income: nonOECD,Latin America & Caribbean,Argentina
ARM,Republic of Armenia,Lower middle income,Europe & Central Asia,Armenia
ABW,Aruba,High income: nonOECD,Latin America & Caribbean,Aruba
AUS,Commonwealth of Australia,High income: OECD,East Asia & Pacific,Australia
AUT,Republic of Austria,High income: OECD,Europe & Central Asia,Austria
AZE,Republic of Azerbaijan,Upper middle income,Europe & Central Asia,Azerbaijan
BHS,Commonwealth of The Bahamas,High income: nonOECD,Latin America & Caribbean,The Bahamas
BHR,Kingdom of Bahrain,High income: nonOECD,Middle East & North Africa,Bahrain
BGD,People's Republic of Bangladesh,Lower middle income,South Asia,Bangladesh
BRB,Barbados,High income: nonOECD,Latin America & Caribbean,Barbados
BLR,Republic of Belarus,Upper middle income,Europe & Central Asia,Belarus
BEL,Kingdom of Belgium,High income: OECD,Europe & Central Asia,Belgium
BLZ,Belize,Upper middle income,Latin America & Caribbean,Belize
BEN,Republic of Benin,Low income,Sub-Saharan Africa,Benin
BMU,The Bermudas,High income: nonOECD,North America,Bermuda
BTN,Kingdom of Bhutan,Lower middle income,South Asia,Bhutan
BOL,Plurinational State of Bolivia,Lower middle income,Latin America & Caribbean,Bolivia
BIH,Bosnia and Herzegovina,Upper middle income,Europe & Central Asia,Bosnia and Herzegovina
BWA,Republic of Botswana,Upper middle income,Sub-Saharan Africa,Botswana
BRA,Federative Republic of Brazil,Upper middle income,Latin America & Caribbean,Brazil
BRN,Brunei Darussalam,High income: nonOECD,East Asia & Pacific,Brunei
BGR,Republic of Bulgaria,Upper middle income,Europe & Central Asia,Bulgaria
BFA,Burkina Faso,Low income,Sub-Saharan Africa,Burkina Faso
BDI,Republic of Burundi,Low income,Sub-Saharan Africa,Burundi
CPV,Republic of Cabo Verde,Lower middle income,Sub-Saharan Africa,Cabo Verde
KHM,Kingdom of Cambodia,Low income,East Asia & Pacific,Cambodia
CMR,Republic of Cameroon,Lower middle income,Sub-Saharan Africa,Cameroon
CAN,Canada,High income: OECD,North America,Canada
CYM,Cayman Islands,High income: nonOECD,Latin America & Caribbean,Cayman Islands
CAF,Central African Republic,Low income,Sub-Saharan Africa,Central African Republic
TCD,Republic of Chad,Low income,Sub-Saharan Africa,Chad
CHI,Channel Islands,High income: nonOECD,Europe & Central Asia,Channel Islands
CHL,Republic of Chile,High income: OECD,Latin America & Caribbean,Chile
CHN,People's Republic of China,Upper middle income,East Asia & Pacific,China
COL,Republic of Colombia,Upper middle income,Latin America & Caribbean,Colombia
COM,Union of the Comoros,Low income,Sub-Saharan Africa,Comoros
ZAR,Democratic Republic of the Congo,Low income,Sub-Saharan Africa,Dem. Rep. Congo
COG,Republic of Congo,Lower middle income,Sub-Saharan Africa,Congo
CRI,Republic of Costa Rica,Upper middle income,Latin America & Caribbean,Costa Rica
CIV,Republic of Côte d'Ivoire,Lower middle income,Sub-Saharan Africa,Côte d'Ivoire
HRV,Republic of Croatia,High income: nonOECD,Europe & Central Asia,Croatia
CUB,Republic of Cuba,Upper middle income,Latin America & Caribbean,Cuba
CUW,Curaçao,High income: nonOECD,Latin America & Caribbean,Curaçao
CYP,Republic of Cyprus,High income: nonOECD,Europe & Central Asia,Cyprus
CZE,Czech Republic,High income: OECD,Europe & Central Asia,Czech Republic
DNK,Kingdom of Denmark,High income: OECD,Europe & Central Asia,Denmark
DJI,Republic of Djibouti,Lower middle income,Middle East & North Africa,Djibouti
DMA,Commonwealth of Dominica,Upper middle income,Latin America & Caribbean,Dominica
DOM,Dominican Republic,Upper middle income,Latin America & Caribbean,Dominican Republic
ECU,Republic of Ecuador,Upper middle income,Latin America & Caribbean,Ecuador
EGY,Arab Republic of Egypt,Lower middle income,Middle East & North Africa,Egypt
SLV,Republic of El Salvador,Lower middle income,Latin America & Caribbean,El Salvador
GNQ,Republic of Equatorial Guinea,High income: nonOECD,Sub-Saharan Africa,Equatorial Guinea
ERI,State of Eritrea,Low income,Sub-Saharan Africa,Eritrea
EST,Republic of Estonia,High income: OECD,Europe & Central Asia,Estonia
ETH,Federal Democratic Republic of Ethiopia,Low income,Sub-Saharan Africa,Ethiopia
FRO,Faeroe Islands,High income: nonOECD,Europe & Central Asia,Faeroe Islands
FJI,Republic of Fiji,Upper middle income,East Asia & Pacific,Fiji
FIN,Republic of Finland,High income: OECD,Europe & Central Asia,Finland
FRA,French Republic,High income: OECD,Europe & Central Asia,France
PYF,French Polynesia,High income: nonOECD,East Asia & Pacific,French Polynesia
GAB,Gabonese Republic,Upper middle income,Sub-Saharan Africa,Gabon
