country,poorBooks,richBooks,poorToys,richToys
Afghanistan,1,5,52,57
Albania,16,52,57,48
Argentina,40,83,58,63
Belarus,83,96,77,79
Belize,17,73,55,58
Bhutan,1,24,36,60
Bosnia and Herzegovina,39,73,58,60
Cameroon,0,13,30,57
Central African Republic ,0,3,41,51
Chad,0,2,38,50
Congo,0,5,24,51
Costa Rica,13,70,68,74
C™te d'Ivoire,3,13,44,35
Democratic Republic of the Congo,0,2,21,40
Gambia,0,4,28,50
Georgia,26,69,41,41
Ghana,1,23,31,51
Guyana,28,86,67,60
Honduras,1,34,74,81
Iraq,1,16,34,32
Jamaica,34,73,64,56
Jordan,11,40,68,74
Kazakhstan,24,76,40,49
Kyrgyzstan,76,85,59,54
Lao People's Democratic Republic,1,24,29,50
Mali,0,2,33,49
Mongolia,6,48,74,62
Montenegro,50,92,49,33
Morocco,9,52,19,7
Nigeria,0,19,29,48
Serbia,49,86,65,60
Sierra Leone,0,10,24,50
Suriname,4,61,61,60
Swaziland,1,12,64,74
Syrian Arab Republic,12,53,52,51
Tajikistan,4,33,43,44
Thailand,24,71,69,70
The former Yugoslav Republic of Macedonia,18,81,70,79
Togo,0,7,26,41
Trinidad and Tobago,66,93,63,72
Tunisia,3,40,46,56
Ukraine,92,92,61,51
Uzbekistan,32,59,74,62
Viet Nam,3,49,41,54
Yemen,4,31,45,49
