CountryCode,RegionCode,RegionName
AFG,SAS,South Asia
ALB,ECS,Europe &amp; Central Asia (all income levels)
DZA,MEA,Middle East &amp; North Africa (all income levels)
AGO,SSF,Sub-Saharan Africa (all income levels)
ARG,LCN,Latin America &amp; Caribbean (all income levels)
ARM,ECS,Europe &amp; Central Asia (all income levels)
ABW,LCN,Latin America &amp; Caribbean (all income levels)
AUS,EAS,East Asia &amp; Pacific (all income levels)
AUT,ECS,Europe &amp; Central Asia (all income levels)
AZE,ECS,Europe &amp; Central Asia (all income levels)
BHS,LCN,Latin America &amp; Caribbean (all income levels)
BHR,MEA,Middle East &amp; North Africa (all income levels)
BGD,SAS,South Asia
BRB,LCN,Latin America &amp; Caribbean (all income levels)
BLR,ECS,Europe &amp; Central Asia (all income levels)
BEL,ECS,Europe &amp; Central Asia (all income levels)
BLZ,LCN,Latin America &amp; Caribbean (all income levels)
BEN,SSF,Sub-Saharan Africa (all income levels)
BTN,SAS,South Asia
BOL,LCN,Latin America &amp; Caribbean (all income levels)
BIH,ECS,Europe &amp; Central Asia (all income levels)
BWA,SSF,Sub-Saharan Africa (all income levels)
BRA,LCN,Latin America &amp; Caribbean (all income levels)
BRN,EAS,East Asia &amp; Pacific (all income levels)
BGR,ECS,Europe &amp; Central Asia (all income levels)
BFA,SSF,Sub-Saharan Africa (all income levels)
BDI,SSF,Sub-Saharan Africa (all income levels)
KHM,EAS,East Asia &amp; Pacific (all income levels)
CMR,SSF,Sub-Saharan Africa (all income levels)
CAN,NAC,North America
CPV,SSF,Sub-Saharan Africa (all income levels)
CAF,SSF,Sub-Saharan Africa (all income levels)
TCD,SSF,Sub-Saharan Africa (all income levels)
CHI,ECS,Europe &amp; Central Asia (all income levels)
CHL,LCN,Latin America &amp; Caribbean (all income levels)
CHN,EAS,East Asia &amp; Pacific (all income levels)
COL,LCN,Latin America &amp; Caribbean (all income levels)
COM,SSF,Sub-Saharan Africa (all income levels)
COD,SSF,Sub-Saharan Africa (all income levels)
COG,SSF,Sub-Saharan Africa (all income levels)
CRI,LCN,Latin America &amp; Caribbean (all income levels)
CIV,SSF,Sub-Saharan Africa (all income levels)
HRV,ECS,Europe &amp; Central Asia (all income levels)
CUB,LCN,Latin America &amp; Caribbean (all income levels)
CYP,ECS,Europe &amp; Central Asia (all income levels)
CZE,ECS,Europe &amp; Central Asia (all income levels)
DNK,ECS,Europe &amp; Central Asia (all income levels)
DJI,MEA,Middle East &amp; North Africa (all income levels)
DOM,LCN,Latin America &amp; Caribbean (all income levels)
ECU,LCN,Latin America &amp; Caribbean (all income levels)
EGY,MEA,Middle East &amp; North Africa (all income levels)
SLV,LCN,Latin America &amp; Caribbean (all income levels)
GNQ,SSF,Sub-Saharan Africa (all income levels)
ERI,SSF,Sub-Saharan Africa (all income levels)
EST,ECS,Europe &amp; Central Asia (all income levels)
ETH,SSF,Sub-Saharan Africa (all income levels)
FJI,EAS,East Asia &amp; Pacific (all income levels)
