name,urban,rural
Afghanistan,78,54
Albania,90,91
Algeria,98,95
Angola,85,67
Armenia,97,98
Azerbaijan,74,72
Bangladesh,77,80
Belarus,91,93
Belize,98,92
Benin,84,72
Bhutan,98,94
Bolivia (Plurinational State of),98,96
Bosnia and Herzegovina,97,98
Botswana,89,85
Burkina Faso,83,45
Burundi,91,84
Cambodia,96,93
Cameroon,94,78
Central African Republic ,86,66
Chad,71,47
Chile,91,92
China,97,96
Colombia,91,91
Comoros,41,29
Congo,92,92
Costa Rica,97,95
C™te d'Ivoire,73,65
Democratic People's Republic of Korea,100,99
Democratic Republic of the Congo,86,70
Dominican Republic,95,95
Ecuador,97,96
Egypt,90,87
Eritrea,79,47
Ethiopia,86,61
Gabon,87,89
Gambia,75,54
Georgia,97,95
Ghana,80,68
Guinea,84,47
Guinea-Bissau,84,57
Guyana,96,94
Haiti,86,73
Honduras,94,92
India,88,82
Indonesia,95,94
Iran (Islamic Republic of),97,95
Iraq,94,84
Jamaica,98,98
Jordan,98,98
Kazakhstan,99,99
Kenya,94,86
Kyrgyzstan,98,99
Lao People's Democratic Republic,95,83
Lesotho,93,88
Liberia,56,22
Madagascar,86,66
Malawi,93,84
Maldives,94,94
Mali,80,50
Mauritania,72,55
Mongolia,97,94
Montenegro,97,98
Morocco,96,83
Mozambique,86,74
Myanmar,93,89
Namibia,90,85
Nepal,97,93
Nicaragua,76,64
Niger,83,45
Nigeria,71,52
Pakistan,75,59
Paraguay,89,87
Peru,97,98
Philippines,90,87
Republic of Moldova,98,99
Rwanda,93,92
Saint Lucia,99,100
Samoa,89,88
Sao Tome and Principe,94,93
Senegal,81,50
Serbia,99,98
Sierra Leone,80,72
Solomon Islands,72,65
Somalia,41,12
South Sudan,43,21
State of Palestine,92,97
Sudan,89,69
Suriname,97,94
Swaziland,97,96
Syrian Arab Republic,89,85
Tajikistan,98,97
Thailand,96,96
The former Yugoslav Republic of Macedonia,99,98
Timor-Leste,80,70
Togo,94,86
Tunisia,99,97
Turkey,94,91
Tuvalu,98,99
Uganda,85,81
Ukraine,100,100
United Republic of Tanzania,91,77
Uzbekistan,97,95
Vanuatu,77,77
Viet Nam,98,98
Yemen,83,64
Zambia,80,67
Zimbabwe,89,88
