Country,Meningitis_encephalitis,Respiratory_infections,Sepsis,Pertussis,Malaria,Measles,Congenital_anomalies,HIV_AIDS,Diarrhoeal_diseases,Asphyxia_trauma
India,0.042488278,0.233534888,0.145938913,0.007182025,0.009314662,0.046933792,0.123114044,0.00663867,0.184781579,0.200073149
Democratic Republic of the Congo,0.040686134,0.221728479,0.075842245,0.01386753,0.212434283,0.06908283,0.048008834,0.02005919,0.150790387,0.147500089
Indonesia,0.025829262,0.27277861,0.106128312,0.01262,0.030445137,0.076689828,0.185003315,0.017677822,0.092133369,0.180694346
Pakistan,0.042190621,0.28618202,0.163435643,0.021985945,0.001921226,0.020857808,0.075568204,0.000843982,0.175454966,0.211559586
Nigeria,0.043200357,0.207813651,0.071262349,0.016492104,0.287175958,0.007996224,0.044873945,0.042612526,0.133019132,0.145553754
Ethiopia,0.034238059,0.262054587,0.115549659,0.028521607,0.043578469,0.034427597,0.081432904,0.034783927,0.140515542,0.22489765
Afghanistan,0.052876527,0.315089385,0.112120879,0.01908775,9.43381E-05,0.061885819,0.056477099,0.000408799,0.207811198,0.174148205
Mali,0.046850218,0.234874811,0.089851198,0.013597077,0.20620155,0.036532122,0.052802281,0.008928094,0.166336987,0.144025662
Sierra Leone,0.046102739,0.230230109,0.074015557,0.00879112,0.190730838,0.070815103,0.056514341,0.007130125,0.184775563,0.130894507
Bangladesh,0.018754232,0.239065674,0.192322275,0.008138118,0.006459039,0.018984428,0.158564658,0.000257278,0.112362898,0.245091401
Myanmar,0.029329333,0.274740457,0.116133107,0.00769747,0.037303122,0.053882288,0.120791063,0.001657917,0.13334386,0.225121383
Burkina Faso,0.03503247,0.209869035,0.076233086,0.014703647,0.314358317,0.021762266,0.057294268,0.008361749,0.13936972,0.123015442
South Africa,0.026292232,0.257882696,0.061669043,0.00828885,0.000596797,0.030436657,0.088193362,0.267398296,0.113623554,0.145618514
China,0.048780687,0.259992331,0.043869168,0.014481639,2.4476E-05,0.006918552,0.251849978,0.006461666,0.074015453,0.29360605
Vietnam,0.02848329,0.196812339,0.107352185,0.006786632,0.000565553,0.038354756,0.273676093,0.019897172,0.20503856,0.123033419
Benin,0.032306708,0.206726375,0.083074392,0.017592762,0.292085542,0.028970938,0.059358435,0.013205995,0.127855968,0.138822884
Angola,0.051363324,0.248229418,0.067710048,0.008436715,0.182513332,0.005897236,0.073851826,0.016722943,0.2112941,0.133981057
Senegal,0.018834609,0.177947812,0.118942515,0.026240926,0.237198352,0.029183834,0.109132823,0.012507357,0.091524426,0.178487345
Zambia,0.029023605,0.202521459,0.086641631,0.017677039,0.223390558,0.015128755,0.053889485,0.081652361,0.122398069,0.167677039
Uganda,0.029290534,0.218147427,0.090384235,0.024491121,0.182589424,0.007763756,0.074038,0.104203721,0.118333757,0.150758025
Ghana,0.024762121,0.183393747,0.101381966,0.01812415,0.2801314,0.01205256,0.088966923,0.010761214,0.107612143,0.172813774
Niger,0.048364345,0.256196682,0.065073554,0.016558071,0.272754752,0.008682072,0.036659502,0.006163095,0.17029959,0.119248337
Sudan,0.039792818,0.286617859,0.130517788,0.022311868,0.032853562,0.007636502,0.100253997,0.007769311,0.174427677,0.197818616
Yemen,0.027826235,0.282474578,0.144747479,0.036165596,0.016508531,0.015657576,0.106284304,0.004765349,0.146406842,0.219163511
Guinea,0.030092447,0.175177662,0.075561285,0.016068172,0.360889252,0.010125149,0.043173385,0.020973524,0.105056286,0.162882838
Malawi,0.021408262,0.182806489,0.088041479,0.020103696,0.198260579,0.010503429,0.064793444,0.169125272,0.100451581,0.14450577
Eritrea,0.032110092,0.297760389,0.111980572,0.033324339,0.006880734,0.039395575,0.126416622,0.009039396,0.154883972,0.188208311
Philippines,0.019249925,0.274340383,0.119275406,0.063193495,0.000254812,0.006532465,0.207695337,0.00048646,0.119738701,0.189233014
Cambodia,0.021854152,0.268806073,0.125603865,0.046353807,0.008166552,0.031170922,0.16068553,0.005291005,0.122613297,0.209454796
Tanzania,0.020390321,0.211356934,0.110368537,0.028318243,0.137397567,0.003838004,0.109020049,0.08188729,0.105019042,0.192404013
Kenya,0.033171338,0.262432188,0.09667439,0.022872401,0.065509155,0.003362342,0.093608725,0.065777577,0.14855052,0.208041365
Cameroon,0.039601494,0.243663186,0.080697385,0.016150972,0.177430788,0.004176645,0.074259987,0.041038414,0.162793371,0.160187757
Burundi,0.038346902,0.288402509,0.110058277,0.018684105,0.079629877,0.009342053,0.067218293,0.020552516,0.182125539,0.185639931
Togo,0.029647157,0.201405804,0.097988726,0.017676943,0.248938687,0.012039808,0.07439627,0.022061382,0.120258891,0.175586332
Egypt,0.009216383,0.198714202,0.04814998,0.016544531,0,0.006788653,0.388391854,0.000584454,0.093018028,0.238591917
Rwanda,0.026267862,0.269683385,0.111866069,0.029209863,0.066475203,0.00917624,0.120972261,0.023045671,0.142056598,0.201246848
Algeria,0.012800329,0.217810938,0.124101581,0.012594976,0,0.008693271,0.310767335,0.008282566,0.085837497,0.219111507
South Sudan,0.061218869,0.296533816,0.087461148,0.019671873,0.084038242,0.004917968,0.055199276,0.041822402,0.154502892,0.194633513
Namibia,0.02238806,0.228144989,0.1108742,0.036780384,0.000533049,0.060767591,0.132729211,0.105010661,0.115671642,0.187100213
Mauritania,0.038793676,0.243656171,0.124219477,0.018998273,0.149993357,0.013418361,0.088082902,0.005048492,0.152384748,0.165404544
Thailand,0.014521193,0.145604396,0.084968603,0.01255887,0.007849294,0.01255887,0.522566719,0.009026688,0.049254317,0.141091052
Botswana,0.018181818,0.213636364,0.137121212,0.006060606,0.000757576,0.027272727,0.173484848,0.093939394,0.10530303,0.224242424
Djibouti,0.030907278,0.248255234,0.114656032,0.003988036,0.027916251,0.031904287,0.13559322,0.044865404,0.147557328,0.214356929
Guinea-Bissau,0.036873968,0.197578426,0.094111172,0.011007155,0.247477527,0.005320125,0.053935058,0.050082554,0.131352045,0.17226197
Lesotho,0.023078874,0.178037028,0.111336546,0.014202384,0,0.006086736,0.065178798,0.280750697,0.107278722,0.214050216
Iraq,0.020818274,0.254445569,0.14500506,0.010987422,0,0.00110838,0.216712448,0,0.107512891,0.243409956
Gambia,0.021947528,0.176841574,0.105196771,0.018415742,0.282795156,0.00554995,0.095610494,0.009586276,0.102926337,0.181130172
C̫te d'Ivoire,0.033505256,0.211543762,0.104571046,0.014921847,0.220185834,0.000393716,0.061833143,0.033367455,0.137505414,0.182172526
Ukraine,0.042291426,0.186466744,0.054209919,0.020761246,0,0.007304883,0.505959246,0.013071895,0.038062284,0.131872357
Gabon,0.017891683,0.171179884,0.102998066,0.028046422,0.261121857,0.006769826,0.120889749,0.030947776,0.088491296,0.171663443
Jordan,0.012974052,0.18762475,0.109780439,0.018463074,0,0.004491018,0.424650699,0,0.065868263,0.176147705
Uzbekistan,0.028790661,0.324042497,0.073452256,0.007345226,0,0.000327912,0.215044596,0.002229801,0.16730063,0.181466422
Tajikistan,0.025881756,0.282796245,0.135879218,0.006216696,0,0.000507485,0.163283431,0.004059883,0.143110886,0.2382644
Sao Tome and Principe,0.023255814,0.241860465,0.102325581,0.004651163,0.125581395,0.018604651,0.153488372,0.009302326,0.130232558,0.190697674
Bosnia and Herzegovina,0.016260163,0.105691057,0.089430894,0.016260163,0,0.024390244,0.552845528,0,0.008130081,0.18699187
Bulgaria,0.023157895,0.273684211,0.035789474,0,0,0.006315789,0.461052632,0,0.010526316,0.189473684
Iran,0.014645536,0.231923022,0.119711334,0.019244375,0,0.000212254,0.351209849,0.004669591,0.060563181,0.197820858
Syria,0.007953724,0.16582309,0.100747168,0.031332851,0,0.000482044,0.311159315,0,0.187515064,0.194986744
Swaziland,0.028311426,0.228008089,0.098584429,0.021233569,0.000505561,0.001011122,0.086450961,0.215874621,0.1380182,0.182002022
Albania,0.044642857,0.19047619,0.068452381,0.011904762,0,0.00297619,0.532738095,0,0.017857143,0.130952381
Qatar,0.011111111,0.088888889,0.055555556,0.022222222,0,0.011111111,0.611111111,0,0.011111111,0.188888889
Samoa,0.041666667,0.208333333,0.083333333,0.020833333,0,0.020833333,0.4375,0,0.0625,0.125
Andorra,0,0,0,0,0,0,1,0,0,0
Antigua and Barbuda,0,0.166666667,0,0,0,0,0.166666667,0,0,0.666666667
Argentina,0.028661088,0.176569038,0.115690377,0.008995816,0,0,0.540376569,0.002301255,0.027615063,0.099790795
Armenia,0.037037037,0.179012346,0.092592593,0.012345679,0,0,0.50308642,0.00308642,0.018518519,0.154320988
Austria,0.039772727,0.045454545,0.034090909,0,0,0,0.693181818,0,0.005681818,0.181818182
Azerbaijan,0.021904762,0.284444444,0.100634921,0.011111111,0,0,0.246984127,0.001269841,0.131111111,0.202539683
Bahamas,0,0.568181818,0.113636364,0,0,0,0.181818182,0,0,0.136363636
Bahrain,0.037974684,0.075949367,0.063291139,0,0,0,0.506329114,0,0,0.316455696
Barbados,0,0.214285714,0.035714286,0,0,0,0.464285714,0,0,0.285714286
Belarus,0.024561404,0.105263158,0.045614035,0.031578947,0,0,0.656140351,0.003508772,0.010526316,0.122807018
Belgium,0.041666667,0.0625,0.054166667,0,0,0,0.645833333,0,0,0.195833333
Belize,0.020408163,0.142857143,0.142857143,0,0,0,0.326530612,0.020408163,0.081632653,0.265306122
Bhutan,0.023333333,0.286666667,0.143333333,0.006666667,0,0,0.186666667,0.003333333,0.13,0.22
Bolivia,0.020930583,0.256286704,0.117602771,0.046830297,0,0,0.203583798,0.00587261,0.124228279,0.22466496
Brunei Darussalam,0.035714286,0.107142857,0.035714286,0.035714286,0,0,0.607142857,0,0,0.178571429
