World Bank income group,Year,Number of under-five deaths (thousands),Number of infant deaths (thousands),Number of neonatal deaths (thousands)
Low-income,2013,2000 [1877-2221],1396 [1323-1511],
Low-income,2012,2049 [1932-2247],1421 [1352-1523],
Low-income,2011,2117 [2006-2291],1455 [1392-1545],
Low-income,2010,2214 [2111-2366],1498 [1439-1576],
Low-income,2009,2259 [2164-2393],1529 [1476-1598],
Low-income,2008,2341 [2251-2456],1570 [1521-1629],
Low-income,2007,2430 [2348-2533],1615 [1571-1668],
Low-income,2006,2523 [2450-2616],1664 [1625-1712],
Low-income,2005,2619 [2551-2704],1715 [1679-1760],
Low-income,2004,2718 [2655-2798],1768 [1734-1810],
Low-income,2003,2821 [2758-2898],1822 [1790-1863],
Low-income,2002,2919 [2859-2995],1876 [1844-1916],
Low-income,2001,3004 [2943-3080],1924 [1892-1964],
Low-income,2000,3067 [3007-3142],1965 [1933-2004],
Low-income,1999,3118 [3059-3191],1990 [1958-2029],
Low-income,1998,3158 [3100-3231],2005 [1974-2043],
Low-income,1997,3173 [3115-3245],2012 [1981-2049],
Low-income,1996,3181 [3124-3252],2014 [1983-2052],
Low-income,1995,3198 [3142-3268],2016 [1985-2053],
Low-income,1994,3216 [3160-3286],2017 [1987-2055],
Low-income,1993,3204 [3148-3274],2014 [1983-2051],
Low-income,1992,3207 [3151-3276],2011 [1981-2048],
Low-income,1991,3208 [3154-3277],2010 [1981-2047],
Low-income,1990,3209 [3155-3276],2015 [1985-2050],
Lower-middle-income,2013,3456 [3254-3727],2579 [2448-2744],
Lower-middle-income,2012,3554 [3374-3793],2640 [2527-2787],
Lower-middle-income,2011,3659 [3496-3869],2709 [2604-2836],
Lower-middle-income,2010,3771 [3622-3953],2776 [2685-2890],
Lower-middle-income,2009,3886 [3752-4048],2851 [2765-2947],
Lower-middle-income,2008,4014 [3885-4155],2925 [2847-3014],
Lower-middle-income,2007,4144 [4020-4274],3006 [2931-3085],
Lower-middle-income,2006,4274 [4159-4403],3088 [3017-3165],
Lower-middle-income,2005,4412 [4298-4536],3175 [3105-3250],
Lower-middle-income,2004,4557 [4442-4678],3263 [3194-3337],
Lower-middle-income,2003,4708 [4590-4827],3355 [3285-3428],
Lower-middle-income,2002,4858 [4741-4980],3448 [3377-3521],
Lower-middle-income,2001,5009 [4891-5132],3543 [3470-3616],
Lower-middle-income,2000,5154 [5035-5277],3635 [3563-3709],
Lower-middle-income,1999,5297 [5180-5426],3722 [3651-3800],
Lower-middle-income,1998,5438 [5317-5569],3806 [3734-3886],
Lower-middle-income,1997,5570 [5448-5706],3888 [3813-3969],
Lower-middle-income,1996,5699 [5577-5835],3968 [3893-4049],
Lower-middle-income,1995,5828 [5703-5963],4051 [3976-4133],
Lower-middle-income,1994,5957 [5832-6097],4137 [4062-4221],
Lower-middle-income,1993,6096 [5969-6236],4229 [4153-4314],
Lower-middle-income,1992,6234 [6104-6374],4323 [4246-4409],
Lower-middle-income,1991,6362 [6229-6503],4415 [4334-4500],
Lower-middle-income,1990,6475 [6341-6618],4497 [4414-4583],
Upper-middle-income,2013,736 [672-842],586 [546-650],
Upper-middle-income,2012,768 [709-863],614 [578-670],
Upper-middle-income,2011,805 [748-891],643 [609-693],
Upper-middle-income,2010,844 [792-921],673 [641-718],
Upper-middle-income,2009,892 [841-960],709 [677-748],
Upper-middle-income,2008,933 [886-997],744 [715-782],
Upper-middle-income,2007,976 [931-1035],778 [749-813],
